shot,t_end,t_peak,t_hi,t_lo,ipk,ip_end_frac,t_after_lo,flat_before,quench_duration_s,is_fast,n_bridge,flipped,d_ms,logd,bin,lo_rel_end
12435,0.4858,0.4114000000000001,0.4122,0.41400000000000003,786961.375,0.004104981536180857,0.07179999999999997,0.0007999999999999119,0.0017999999999999,True,1,False,1.7999999999999,0.2552725051032819,"(11000, 14000]",71.79999999999997
12460,0.3106,0.23500000000000001,0.2366,0.23800000000000002,1162760.625,0.0011212908475290754,0.07259999999999997,0.0015999999999999903,0.0014,True,0,False,1.4,0.146128035678238,"(11000, 14000]",72.59999999999997
12481,0.4768,0.4022,0.4032,0.40460000000000007,846876.6875,-0.0005148514807272155,0.07219999999999993,0.0010000000000000009,0.0013999999999999,True,1,False,1.3999999999999,0.146128035678207,"(11000, 14000]",72.19999999999993
12507,0.27560000000000007,0.19860000000000003,0.2014,0.2034,1013426.0625,0.0003379229255832798,0.07220000000000007,0.002799999999999969,0.002,True,3,False,2.0,0.3010299956639812,"(11000, 14000]",72.20000000000007
12535,0.5354000000000001,0.4546,0.45720000000000005,0.46320000000000006,952835.875,0.002624122088198689,0.07220000000000004,0.0026000000000000467,0.0059999999999997,True,5,False,5.9999999999997,0.7781512503836219,"(11000, 14000]",72.20000000000005
12556,0.4474,0.372,0.3728,0.37640000000000007,1156715.375,0.0015579126571543152,0.07099999999999995,0.0008000000000000229,0.0035999999999998,True,4,False,3.5999999999998,0.5563025007672631,"(11000, 14000]",70.99999999999996
12617,0.33940000000000003,0.26460000000000006,0.2652,0.26639999999999997,1029468.125,0.002145353691438965,0.07300000000000006,0.0005999999999999339,0.0012,True,3,False,1.2,0.07918124604762482,"(11000, 14000]",73.00000000000007
12654,0.2932,0.2174,0.21880000000000002,0.22120000000000004,1301434.375,0.0008785480871166189,0.07199999999999998,0.0014000000000000123,0.0024,True,3,False,2.4,0.38021124171160603,"(11000, 14000]",71.99999999999999
12679,0.372,0.2976,0.2982,0.2992,978648.8125,0.0016415376701860173,0.07279999999999998,0.0006000000000000449,0.0009999999999999,True,0,False,0.9999999999999001,-4.339473599490009e-14,"(11000, 14000]",72.79999999999998
12701,0.5176000000000001,0.44300000000000006,0.4436,0.4454,973685.1875,-0.0010471805668122777,0.07220000000000004,0.0005999999999999339,0.0017999999999999,True,4,False,1.7999999999999,0.2552725051032819,"(11000, 14000]",72.20000000000005
12724,0.38360000000000005,0.30879999999999996,0.3096,0.31079999999999997,948834.25,0.0019310210103295833,0.07280000000000009,0.0008000000000000229,0.0011999999999999,True,0,False,1.1999999999999,0.07918124604758865,"(11000, 14000]",72.80000000000008
12747,0.5042000000000001,0.4294,0.4304,0.43220000000000003,916346.75,0.00296515229198513,0.07200000000000006,0.0010000000000000009,0.0017999999999999,True,4,False,1.7999999999999,0.2552725051032819,"(11000, 14000]",72.00000000000006
12774,0.36960000000000004,0.2944,0.2952,0.29800000000000004,1135387.125,0.0013152212540020766,0.0716,0.0008000000000000229,0.0027999999999999,True,2,False,2.7999999999999,0.4471580313422037,"(11000, 14000]",71.6
12795,0.4718,0.39760000000000006,0.3982,0.4,753582.0,0.006283831519620625,0.07179999999999997,0.0005999999999999339,0.0017999999999999,True,3,False,1.7999999999999,0.2552725051032819,"(11000, 14000]",71.79999999999997
12821,0.4082,0.3336,0.33420000000000005,0.33520000000000005,1076392.375,-0.0056543038143676465,0.07299999999999995,0.0006000000000000449,0.0009999999999999,True,1,False,0.9999999999999001,-4.339473599490009e-14,"(11000, 14000]",72.99999999999996
12843,0.48040000000000005,0.40580000000000005,0.4066000000000001,0.4084000000000001,857120.3125,-0.00010024037355051526,0.07199999999999995,0.0008000000000000229,0.0017999999999999,True,0,False,1.7999999999999,0.2552725051032819,"(11000, 14000]",71.99999999999996
12868,0.5164000000000001,0.11699999999999999,0.3964,0.44800000000000006,737679.625,0.006534186477590119,0.06840000000000002,0.2794,0.0515999999999979,False,3,False,51.5999999999979,1.7126497016271938,"(11000, 14000]",68.40000000000002
12891,0.4358000000000001,0.36240000000000006,0.363,0.36540000000000006,792751.0,0.001611626359604876,0.07040000000000002,0.0005999999999999339,0.0023999999999999,True,1,False,2.3999999999999,0.38021124171158793,"(11000, 14000]",70.40000000000002
12916,0.38239999999999996,0.30700000000000005,0.30800000000000005,0.31100000000000005,1140894.0,0.0019263620479586623,0.07139999999999991,0.0010000000000000009,0.0029999999999999,True,3,False,2.9999999999999,0.47712125471964795,"(11000, 14000]",71.3999999999999
12942,0.3022,0.22740000000000002,0.2286,0.2306,1060449.125,-0.0013689268177704895,0.07160000000000002,0.0011999999999999789,0.002,True,5,False,2.0,0.3010299956639812,"(11000, 14000]",71.60000000000002
12965,0.39060000000000006,0.31579999999999997,0.3166,0.3198,1064241.625,-0.00017696406070496443,0.07080000000000009,0.0008000000000000229,0.0031999999999999,True,5,False,3.1999999999999,0.5051499783198924,"(11000, 14000]",70.80000000000008
12988,0.4776,0.11400000000000002,0.3356,0.4066000000000001,820330.4375,0.007865878594692824,0.07099999999999995,0.2216,0.0709999999999971,False,5,False,70.99999999999709,1.8512583487190575,"(11000, 14000]",70.99999999999996
