shot,valid,reason,flipped,dt,n,ipmax,quench_duration_s,is_fast,n_bridge
18606,True,,False,0.00019999999999999185,2615,1150602.875,0.019799999999999193,False,0
18634,True,,False,0.00019999999999997797,3958,635291.125,0.02379999999999738,False,3
18660,True,,False,0.00019999999999997797,4051,637147.25,0.020399999999997753,False,0
18684,True,,False,0.00019999999999999185,2766,735802.0625,0.07139999999999709,False,1
18709,True,,False,0.00019999999999997797,3403,759594.875,0.11759999999998705,False,7
18731,True,,False,0.00019999999999999185,3176,731543.5,0.08419999999999657,False,2
18756,True,,False,0.0001999999999999988,2314,902203.8125,0.0025999999999999843,True,3
18778,True,,False,0.00019999999999999185,3003,1084552.75,0.0391999999999984,False,0
18802,True,,False,0.0001999999999999988,2225,1090732.0,0.002799999999999983,True,2
18826,True,,False,0.00019999999999999185,2698,701393.75,0.002599999999999894,True,1
18848,True,,False,0.00019999999999997797,3523,770950.1875,0.2033999999999776,False,1
18873,True,,False,0.00019999999999997797,3998,640981.0,0.28839999999996824,False,0
18896,True,,False,0.00019999999999999185,2771,792286.4375,0.0029999999999998778,True,2
18930,True,,False,0.00019999999999999185,3043,942314.875,0.056799999999997686,False,2
19388,True,,False,0.00019999999999999185,3053,515989.1875,0.07879999999999679,False,5
19425,True,,False,0.00019999999999999185,2604,532727.875,0.03359999999999863,False,4
19472,True,,False,0.00020000000000000573,2111,973704.25,0.0024000000000000687,True,0
19506,True,,False,0.0001999999999999988,2508,736015.875,0.027199999999999835,False,1
19540,True,,False,0.0001999999999999988,2326,900477.375,0.001999999999999988,True,2
19566,True,,False,0.0001999999999999988,2346,823089.3125,0.0015999999999999903,True,0
19591,True,,False,0.00019999999999999185,2603,730546.25,0.005799999999999764,True,2
19640,True,,False,0.00019999999999997797,3775,493896.4375,0.041799999999995396,False,0
19687,True,,False,0.00020000000000000573,1944,698769.5625,0.0012000000000000344,True,4
19716,True,,False,0.00019999999999999185,2776,650320.4375,0.05919999999999759,False,3
19802,True,,False,0.00019999999999999185,3104,901628.125,0.11639999999999526,False,1
19826,True,,False,0.00019999999999999185,3132,770326.375,0.10259999999999582,False,2
19854,True,,False,0.00019999999999997797,3460,493950.84375,0.0017999999999998018,True,0
19883,True,,False,0.00019999999999997797,3629,435742.84375,0.0013999999999998458,True,3
19917,True,,False,0.00019999999999999185,3103,744752.1875,0.08679999999999646,False,5
19961,True,,False,0.00019999999999999185,3103,728555.625,0.08719999999999645,False,3
20009,True,,False,0.00019999999999999185,2824,528522.125,0.001399999999999943,True,0
20035,True,,False,0.00019999999999999185,2858,423110.84375,0.02359999999999904,False,4
20066,True,,False,0.00019999999999999185,2609,974970.125,0.002399999999999902,True,3
20088,True,,False,0.00019999999999999185,2718,836503.9375,0.002599999999999894,True,0
20112,True,,False,0.00019999999999997797,3985,657198.0,0.08239999999999092,False,0
20152,True,,False,0.0001999999999999988,2504,924575.9375,0.002799999999999983,True,11
20234,True,,False,0.00019999999999999185,3100,941066.375,0.14579999999999405,False,6
20267,True,,False,0.00020000000000000573,2023,928612.0625,0.00280000000000008,True,2
20294,True,,False,0.00019999999999997797,3283,762966.875,0.09479999999998956,False,1
20315,True,,False,0.00019999999999999185,3208,891063.5625,0.1299999999999947,False,5
20343,True,,False,0.0001999999999999988,2500,847404.75,0.002999999999999982,True,1
20376,True,,False,0.0001999999999999988,2498,864766.25,0.0023999999999999855,True,5
20398,True,,False,0.00020000000000000573,2078,846489.3125,0.00280000000000008,True,1
20429,True,,False,0.00019999999999999185,2937,904866.4375,0.0031999999999998696,True,1
20459,True,,False,0.00019999999999997797,3657,421032.15625,0.0005999999999999339,True,4
20482,True,,False,0.00019999999999999185,2730,927639.25,0.0031999999999998696,True,2
20505,True,,False,0.00019999999999997797,3290,763015.875,0.09339999999998971,False,0
20528,True,,False,0.0001999999999999988,2424,868292.4375,0.002799999999999983,True,0
20564,True,,False,0.00019999999999999185,2708,727897.0625,0.06339999999999742,False,8
20594,True,,False,0.00019999999999999185,3017,780156.75,0.06939999999999717,False,2
20618,True,,False,0.00019999999999999185,2612,874423.0,0.002799999999999886,True,9
20645,True,,False,0.00019999999999999185,2945,858891.5,0.002799999999999886,True,1
20687,True,,False,0.00019999999999999185,2567,860068.9375,0.002799999999999886,True,4
20722,True,,False,0.00019999999999999185,3099,763406.5625,0.08039999999999672,False,0
20755,True,,False,0.00019999999999999185,2739,899457.5,0.021999999999999104,False,8
20793,True,,False,0.0001999999999999988,2479,857891.0625,0.002799999999999983,True,3
20817,True,,False,0.00020000000000000573,1640,822693.0,0.0012000000000000344,True,0
20842,True,,False,0.00019999999999999185,2669,853817.5,0.002799999999999886,True,0
20866,True,,False,0.00019999999999997797,3498,682053.6875,0.11819999999998698,False,2
20889,True,,False,0.00019999999999997797,3241,633491.875,0.06199999999999317,False,1
20913,True,,False,0.00019999999999997797,3541,626075.875,0.061799999999993194,False,4
20963,True,,False,0.00020000000000000573,1523,478333.65625,0.002200000000000063,True,1
